zone_id,geometry
3034,POINT (-112.266347 33.515371)
2806,POINT (-112.295566 33.513647)
714,POINT (-112.298048 33.500971)
2807,POINT (-112.31591399999999 33.501537)
713,POINT (-112.31705 33.516219)
270,POINT (-112.31159099999999 33.489557)
417,POINT (-112.31706399999999 33.529232)
416,POINT (-112.32033100000001 33.543702)
716,POINT (-112.28065500000001 33.500916)
2779,POINT (-112.26999599999999 33.501160999999996)
2780,POINT (-112.270651 33.514359000000006)
3033,POINT (-112.27584499999999 33.515254)
422,POINT (-112.283174 33.543469)
3032,POINT (-112.276137 33.543265000000005)
423,POINT (-112.280946 33.529643)
424,POINT (-112.267398 33.544057)
292,POINT (-112.228952 33.444369)
725,POINT (-112.227628 33.475693)
726,POINT (-112.232684 33.455861)
110,POINT (-112.229355 33.468367)
2014,POINT (-112.225248 33.457242)
291,POINT (-112.246641 33.443864000000005)
290,POINT (-112.24453500000001 33.456081)
722,POINT (-112.24563 33.475039)
3087,POINT (-112.246471 33.460407000000004)
3040,POINT (-112.246191 33.468074)
3041,POINT (-112.245139 33.46386)
3039,POINT (-112.25986100000001 33.463572)
3277,POINT (-112.24218700000002 33.487258000000004)
730,POINT (-112.216591 33.455076)
878,POINT (-112.2116 33.444401)
3422,POINT (-112.20785500000001 33.455081)
729,POINT (-112.210167 33.475859)
143,POINT (-112.211887 33.468601)
1051,POINT (-112.22697 33.464094)
3089,POINT (-112.216532 33.460755999999996)
1054,POINT (-112.215325 33.464445)
3290,POINT (-112.224323 33.483951)
3090,POINT (-112.207652 33.460707)
1491,POINT (-112.207959 33.464855)
3092,POINT (-112.198699 33.458827)
3091,POINT (-112.198629 33.464913)
3280,POINT (-112.20769399999999 33.487608)
426,POINT (-112.25842800000001 33.515537)
430,POINT (-112.228421 33.547783)
431,POINT (-112.22799199999999 33.528156)
432,POINT (-112.228369 33.516133)
435,POINT (-112.211591 33.519724)
3027,POINT (-112.22850600000001 33.535151)
3026,POINT (-112.227222 33.541645)
723,POINT (-112.233599 33.501731)
720,POINT (-112.249905 33.501483)
429,POINT (-112.245623 33.515848999999996)
3037,POINT (-112.25860800000001 33.49542)
3278,POINT (-112.24214599999999 33.501484999999995)
427,POINT (-112.246059 33.548282)
428,POINT (-112.24528799999999 33.528014)
3029,POINT (-112.246144 33.535008000000005)
3028,POINT (-112.24623000000001 33.540003999999996)
727,POINT (-112.214449 33.499635999999995)
3279,POINT (-112.209434 33.505368)
3289,POINT (-112.22513700000002 33.501529999999995)
3291,POINT (-112.224479 33.490963)
3268,POINT (-112.209352 33.512663)
433,POINT (-112.211467 33.548068)
434,POINT (-112.21086799999999 33.528228000000006)
3025,POINT (-112.210697 33.535292999999996)
3024,POINT (-112.209841 33.54193)
2,POINT (-111.256455 32.489065000000004)
2648,POINT (-112.142991 33.045722999999995)
2485,POINT (-111.67923 32.922369)
1430,POINT (-111.675054 33.444221999999996)
1466,POINT (-111.675297 33.419064)
1467,POINT (-111.67533700000001 33.411687)
1468,POINT (-111.67541299999999 33.400897)
1470,POINT (-111.67339199999999 33.382858)
1492,POINT (-111.678843 33.372359)
1494,POINT (-111.678152 33.343278999999995)
1581,POINT (-111.67656299999999 33.270711999999996)
1943,POINT (-111.67747 33.241676)
1950,POINT (-111.677448 33.226875)
1961,POINT (-111.677446 33.212091)
2006,POINT (-111.39188700000001 33.028689)
2003,POINT (-111.32057900000001 33.042813)
2240,POINT (-111.383137 33.02633)
2262,POINT (-111.490697 33.025978)
2228,POINT (-111.372102 33.026895)
3082,POINT (-111.683322 32.804648)
2450,POINT (-111.7611 32.627922)
2426,POINT (-111.714445 32.563989)
2165,POINT (-112.104335 33.049240000000005)
2650,POINT (-112.12577900000001 33.046240000000004)
2628,POINT (-112.03925500000001 33.036023)
2482,POINT (-111.674784 32.814659000000006)
2054,POINT (-111.67173600000001 32.959657)
2499,POINT (-111.678753 32.945392)
2493,POINT (-111.678568 32.901552)
2418,POINT (-111.697851 32.77393)
2417,POINT (-111.679336 32.766661)
2413,POINT (-111.679874 32.754319)
2111,POINT (-111.67975600000001 32.74126)
2434,POINT (-111.679971 32.726457)
2425,POINT (-111.68148899999998 32.697895)
2658,POINT (-111.67826699999999 32.872868)
2038,POINT (-111.588298 33.091245)
2303,POINT (-111.95396699999999 33.037132)
2495,POINT (-111.67724199999999 32.857453)
3182,POINT (-111.679473 33.29936)
1495,POINT (-111.677986 33.332104)
3211,POINT (-111.67541100000001 33.306758)
3256,POINT (-111.851817 33.033388)
3384,POINT (-111.591544 33.018107)
3438,POINT (-111.682924 32.646327)
1422,POINT (-111.670594 33.480722)
2164,POINT (-112.08157299999999 32.660773)
2634,POINT (-112.150976 32.770499)
2280,POINT (-111.87672099999999 32.711853000000005)
2510,POINT (-111.937721 32.908211)
2666,POINT (-111.937771 32.930824)
2678,POINT (-111.939948 32.952605)
2287,POINT (-111.93025800000001 32.806175)
2055,POINT (-111.748443 32.77021)
2097,POINT (-111.72280400000001 32.768512)
2286,POINT (-111.915182 32.775599)
2638,POINT (-112.06528899999999 32.977931)
2692,POINT (-112.07501299999998 32.878894)
2167,POINT (-112.08463799999998 33.014384)
2688,POINT (-112.12763100000001 32.909571)
2669,POINT (-112.017316 32.900355)
2684,POINT (-111.988825 32.900944)
2663,POINT (-112.052103 32.8696)
2698,POINT (-112.164825 32.845822999999996)
2048,POINT (-112.12441299999999 32.869285999999995)
2202,POINT (-112.17306200000002 32.871024)
2690,POINT (-112.10293 32.866093)
2695,POINT (-112.107849 32.88969)
2697,POINT (-112.08758 32.83927)
2694,POINT (-112.091204 32.889388000000004)
2660,POINT (-112.0745 32.889818)
2644,POINT (-112.126043 32.978217)
2652,POINT (-112.12437299999999 32.960888)
2676,POINT (-112.12361000000001 32.951231)
2673,POINT (-112.12586100000001 33.019683)
2633,POINT (-112.18617900000001 32.969031)
3180,POINT (-112.126227 32.937992)
3170,POINT (-112.168622 32.912157)
3167,POINT (-112.170202 32.939268)
2646,POINT (-112.19741 32.993462)
2647,POINT (-112.17858899999999 32.990006)
2645,POINT (-112.16108999999999 32.992532000000004)
3171,POINT (-112.15194199999999 32.966526)
2659,POINT (-112.075092 32.922899)
2655,POINT (-112.11050300000001 32.945617)
3179,POINT (-112.108575 32.963727)
2657,POINT (-112.090763 32.953087)
2636,POINT (-112.108653 32.992705)
2635,POINT (-112.091154 32.977115999999995)
2631,POINT (-112.108622 32.97817)
2637,POINT (-112.09176000000001 32.99273)
2632,POINT (-112.05323 32.807176)
2662,POINT (-112.03165600000001 32.8422)
2027,POINT (-112.00641399999999 32.864564)
2674,POINT (-111.97236399999998 32.84111)
2672,POINT (-112.041931 32.887143)
2664,POINT (-112.057957 32.887079)
2691,POINT (-112.059824 32.874453)
2687,POINT (-112.03905 32.873226)
2283,POINT (-111.976031 32.796682000000004)
2285,POINT (-111.951493 32.795947999999996)
2504,POINT (-111.97234399999999 32.864795)
2665,POINT (-111.98903200000001 32.864575)
2506,POINT (-111.94584499999999 32.864706)
2654,POINT (-111.990219 32.843586)
2505,POINT (-111.97243700000001 32.886833)
2651,POINT (-111.945904 32.840389)
2507,POINT (-111.954183 32.893298)
2166,POINT (-112.023022 32.985254)
2625,POINT (-112.000882 33.02415)
2608,POINT (-112.00652 33.005404)
2667,POINT (-112.011303 32.947208)
2675,POINT (-112.02342800000001 32.930619)
2668,POINT (-112.058778 32.954749)
2630,POINT (-112.02631299999999 33.021864)
2639,POINT (-112.06518200000001 32.993173999999996)
2671,POINT (-112.022714 33.005771)
2629,POINT (-112.006469 33.019498)
2508,POINT (-111.97263400000001 32.915071000000005)
