name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,production,attraction
,1157,,,6,0,,poi,0,-77.03698679338989,38.90391996222121,,491.0,,6.185534930912,6.185534930912
,1158,,,5,0,,poi,0,-77.03946008413139,38.9044346315124,,492.0,,72.08122564777601,72.08122564777601
,1159,,,5,0,,poi,0,-77.03972631064934,38.90399217535067,,493.0,,1.6032844540800002,7.6957653795839995
,1160,,,5,0,,poi,0,-77.03928855288186,38.90336593027785,,494.0,,58.453200148992,2.86535294848
,1161,,,6,0,,poi,0,-77.03695480283267,38.90351882636023,,495.0,,6.794556981343999,6.794556981343999
,1162,,,5,0,,poi,0,-77.03809718410608,38.9034785565761,,496.0,,13.746320874079998,13.746320874079998
,1163,,,17,0,,poi,0,-77.03788470257739,38.90289622877743,,497.0,,9.410133388992001,9.410133388992001
,1164,,,18,0,,poi,0,-77.03703662984512,38.90292156332211,,498.0,,21.575720201279996,21.575720201279996
,1165,,,6,0,,poi,0,-77.03697032474616,38.90335958457679,,499.0,,2.6737553433600003,2.6737553433600003
,1166,,,5,0,,poi,0,-77.03817581626069,38.903007814372046,,500.0,,18.322651200192002,18.322651200192002
,1167,,,18,0,,poi,0,-77.03742645899781,38.90293351850661,,501.0,,10.432597237888,10.432597237888
,1168,,,6,0,,poi,0,-77.03752043161674,38.90341041313529,,502.0,,27.77734717824,27.77734717824
,1169,,,6,0,,poi,0,-77.03696161219274,38.903238051242354,,503.0,,5.128411290528,5.128411290528
,1170,,,18,0,,poi,0,-77.03767523053853,38.902911869033204,,504.0,,6.830454622527999,6.830454622527999
,1171,,,5,0,,poi,0,-77.03811872425736,38.904497177089794,,505.0,,14.606626412799999,14.606626412799999
,1172,,,6,0,,poi,0,-77.03695203082677,38.90425153287426,,506.0,,7.207998779807999,7.207998779807999
,1173,,,6,0,,poi,0,-77.03697658410739,38.904518807143724,,507.0,,0.9998596370560001,38.0946521718336
,1174,,,6,0,,poi,0,-77.03698285818324,38.90406708824308,,508.0,,5.3091373461439995,5.3091373461439995
,1175,,,17,0,,poi,0,-77.04090376137485,38.901993123343075,,509.0,,0.23034768256000004,5.505309613184001
,1176,,,16,0,,poi,0,-77.04206674243879,38.901401808979024,,510.0,,0.05295843916800001,1.2657066961152001
,1177,,,16,0,,poi,0,-77.04212091690566,38.90185484475014,,511.0,,0.2821220915840001,6.742717988857602
,1178,,,15,0,,poi,0,-77.04549702576814,38.9018165321255,,512.0,,0.22797962227200003,5.4487129723008
,1179,,,17,0,,poi,0,-77.0401213948941,38.90204971132838,,513.0,,0.5483135957759999,13.1046949390464
,1180,,,38,0,,poi,0,-77.04822525216868,38.89675228541638,,514.0,,1.962368505024,46.90060727007361
,1181,,,16,0,,poi,0,-77.04299906206639,38.90072846534677,,515.0,,0.5060114279040001,12.093673126905601
,1182,,,15,0,,poi,0,-77.04689953276636,38.90297618894277,,516.0,,0.17717396518400003,4.2344577678976005
,1183,,,6,0,,poi,0,-77.03631173573416,38.90443079961809,,517.0,,0.16748644582400002,4.0029260551936
,1184,,,4,0,,poi,0,-77.04252101760954,38.903126258358185,,518.0,,1.0867243939840001,25.9727130162176
,1185,,,11,0,,poi,0,-77.01938650111475,38.90310754789663,,519.0,,5.332871768576,127.4556352689664
,1186,,,11,0,,poi,0,-77.01926165021486,38.904008915883175,,520.0,,0.49804613420800004,11.9033026075712
,1187,,,15,0,,poi,0,-77.04677192819433,38.90288127231465,,521.0,,0.045961897408,1.0984893480512001
,1188,,,16,0,,poi,0,-77.04102009426447,38.901802349933156,,522.0,,0.54250108416,12.965775911424002
,1189,,,27,0,,poi,0,-77.04530054947917,38.897900482015096,,523.0,,0.11431272844800001,2.7320742099072004
,1190,,,26,0,,poi,0,-77.04786539118287,38.89698336615864,,524.0,,0.17878855174400002,4.2730463866816
,1191,,,25,0,,poi,0,-77.05086288385834,38.89981862118045,,525.0,,1.058522948736,25.298698474790402
,1192,,,26,0,,poi,0,-77.04761928236421,38.898827604980134,,526.0,,0.30623325088000003,7.318974696032001
,1193,,,48,0,,poi,0,-77.01864657053072,38.89645546013049,,527.0,,0.9365678439040002,22.3839714693056
,1194,,,38,0,,poi,0,-77.04716765089731,38.896762126653435,,528.0,,0.8280676270720001,19.7908162870208
,1195,,,25,0,,poi,0,-77.05067269181613,38.89715623147837,,529.0,,0.49826141241599997,11.908447756742401
,1196,,,27,0,,poi,0,-77.04644504364627,38.89703810118129,,530.0,,0.19084413139200002,4.5611747402688
,1197,,,26,0,,poi,0,-77.04933094890599,38.8969660079734,,531.0,,0.234007412096,5.592777149094401
,1198,,,2,0,,poi,0,-77.04796630630074,38.90412700961315,,532.0,,0.6994388977920001,16.716589657228802
,1199,,,23,0,,poi,0,-77.01958388420601,38.90230845133818,,533.0,,0.6948104163200001,16.605968950048002
,1200,,,15,0,,poi,0,-77.0443245765065,38.90197362281796,,534.0,,0.34788958412800003,8.3145610606592
,1201,,,15,0,,poi,0,-77.04407766559267,38.90176954594965,,535.0,,0.42065361843200005,10.0536214805248
,1202,,,3,0,,poi,0,-77.04612461194061,38.9030530286794,,536.0,,0.508487127296,12.1528423423744
,1203,,,2,0,,poi,0,-77.04813296930017,38.9032094247593,,537.0,,1.0091166000000003,24.117886740000007
,1204,,,25,0,,poi,0,-77.05070114298356,38.898851060570784,,538.0,,0.079975854272,1.9114229171008001
,1205,,,27,0,,poi,0,-77.04589649996153,38.89777707514339,,539.0,,0.4825461032320001,11.532851867244801
,1206,,,25,0,,poi,0,-77.05096074654571,38.89889286052584,,540.0,,1.05593961024,25.236956684736
,1207,,,15,0,,poi,0,-77.04695504324124,38.902102460598286,,541.0,,0.206344162368,4.9316254805952
,1208,,,6,0,,poi,0,-77.03535808068247,38.90341472873625,,542.0,,1.7005902040960001,40.644105877894404
,1209,,,10,0,,poi,0,-77.02429365306097,38.904359942102396,,543.0,,0.5175288120320001,0.5175288120320001
,1210,,,25,0,,poi,0,-77.05088812347749,38.898119848252115,,544.0,,0.598042861824,14.293224397593601
,1211,,,9,0,,poi,0,-77.02565951452215,38.90445150456367,,545.0,,1.2118010328320001,28.962044684684802
,1212,,,5,0,,poi,0,-77.0394989333333,38.90408160000001,,546.0,,0.16522602464000002,3.9489019888960004
,1213,,,27,0,,poi,0,-77.0463650199845,38.897900639317285,,547.0,,0.0888022608,2.1223740331200003
,1214,,,26,0,,poi,0,-77.04973936218501,38.89932968925075,,548.0,,0.8967413754240001,21.432118872633602
,1215,,,16,0,,poi,0,-77.04390945492018,38.90090599820421,,549.0,,0.31129228876799997,7.4398857015552
,1216,,,15,0,,poi,0,-77.04526052068171,38.90294733163485,,550.0,,0.644327676544,15.399431469401602
,1217,,,15,0,,poi,0,-77.04688926339256,38.90031608417998,,551.0,,0.23637547238400003,5.6493737899776
,1218,,,2,0,,poi,0,-77.04746433726736,38.903144169004854,,552.0,,1.108898049408,26.502663380851203
,1219,,,35,0,,poi,0,-77.01924439460849,38.89700667512146,,553.0,,0.5602615363200001,13.390250718048003
,1220,,,36,0,,poi,0,-77.01864204946385,38.896931953289744,,554.0,,0.9965228248319999,23.816895513484802
,1221,,,53,0,,poi,0,-77.0403780252707,38.8928579519902,,555.0,,32.798065545216,32.798065545216
,1222,,,28,0,,poi,0,-77.04253829433506,38.898017601612686,,556.0,,60.705386941536005,60.705386941536005
,1223,,,41,0,,poi,0,-77.04019714119022,38.89486126267828,,557.0,,13.8020241104,13.8020241104
,1224,,,41,0,,poi,0,-77.04061490529156,38.89393908354931,,558.0,,8.809830105984,543.5665175392128
,1225,,,29,0,,poi,0,-77.03995836630469,38.89861273600475,,559.0,,21.658656130912,21.658656130912
,1226,,,28,0,,poi,0,-77.04132088298373,38.897585022109816,,560.0,,9.038778480192,9.038778480192
,1227,,,40,0,,poi,0,-77.04112435946115,38.896688089711034,,561.0,,42.028333991424,2.06021245056
,1228,,,29,0,,poi,0,-77.04040506474786,38.89793493562014,,562.0,,58.462403292383996,58.462403292383996
,1229,,,29,0,,poi,0,-77.04073802307038,38.89707692569535,,563.0,,10.492014023296,10.492014023296
,1230,,,28,0,,poi,0,-77.04127892681382,38.89706492339373,,564.0,,19.710280709408003,19.710280709408003
,1231,,,28,0,,poi,0,-77.0425682785334,38.89893462041942,,565.0,,293.64937850956807,14.394577377920003
,1232,,,40,0,,poi,0,-77.04099610055633,38.89570191483328,,566.0,,41.9097587544576,2.054399938944
,1233,,,29,0,,poi,0,-77.04006955163456,38.897018367071034,,567.0,,64.0811322294528,3.1412319720320006
,1234,,,28,0,,poi,0,-77.04120910686785,38.89794350172149,,568.0,,38.677851601216,38.677851601216
,1235,,,40,0,,poi,0,-77.0414467239422,38.896342751099574,,569.0,,3.118143384224,3.118143384224
,1236,,,41,0,,poi,0,-77.04029065086436,38.894142966102415,,570.0,,0.87268403568,0.87268403568
,1237,,,41,0,,poi,0,-77.04077760072988,38.89513536933706,,571.0,,17.4415390226688,0.854977403072
,1238,,,52,0,,poi,0,-77.04148255000001,38.89337095000001,,572.0,,2.4385639011199998,2.4385639011199998
,1239,,,28,0,,poi,0,-77.04197058838649,38.897571984025866,,573.0,,0.405691782976,1.9473205582847997
,1240,,,29,0,,poi,0,-77.04000012666694,38.89761206617977,,574.0,,22.439739289088,22.439739289088
,1241,,,40,0,,poi,0,-77.04151508884044,38.89657777517103,,575.0,,0.305748874912,0.305748874912
,1242,,,40,0,,poi,0,-77.04139859710466,38.894870225094536,,576.0,,16.068526903776,16.068526903776
,1243,,,41,0,,poi,0,-77.04044318705763,38.896696507544156,,577.0,,48.63780553344,2.3842061536
,1244,,,28,0,,poi,0,-77.04229765581627,38.89751641823421,,578.0,,0.25004563859199996,0.25004563859199996
,1245,,,52,0,,poi,0,-77.04148537491119,38.89285283359618,,579.0,,3.779155121888,3.779155121888
,1246,,,29,0,,poi,0,-77.04089322290052,38.89879589492732,,580.0,,25.864869397919996,25.864869397919996
,1247,,,28,0,,poi,0,-77.04130853007327,38.898837192436396,,581.0,,83.36937077598719,4.086733861568
,1248,,,29,0,,poi,0,-77.04045063585326,38.89869334252329,,582.0,,25.037985800992,25.037985800992
,1249,,,26,0,,poi,0,-77.04860500031937,38.897605123003366,,583.0,,0.9816148089279999,0.9816148089279999
,1250,,,39,0,,poi,0,-77.04698040479241,38.89623222538592,,584.0,,1.4061972546559998,1.4061972546559998
,1251,,,27,0,,poi,0,-77.04619129034347,38.89805638779118,,585.0,,0.44933943964799994,0.44933943964799994
,1252,,,27,0,,poi,0,-77.04511118691728,38.89805347263094,,586.0,,3.1676573720639998,3.1676573720639998
,1253,,,27,0,,poi,0,-77.04433598012598,38.89712920702724,,587.0,,3.532823032384,3.532823032384
,1254,,,38,0,,poi,0,-77.04954491777329,38.896363644026216,,588.0,,23.772903411679998,23.772903411679998
