link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
1116,30581,connector,43682,939,"LINESTRING (-110.999771 31.848463, -111.001862 31.848690)",0.193080,0.120000,0.480000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,131.2,131.2,9999.0,0.0,0.0131,0.5,0.0,0.0,131.2,131.2,9999.000,0.000,0.0131,0.480,0.000,0.000,
1117,30582,connector,941,43751,"LINESTRING (-111.008811 31.833340, -111.016143 31.834309)",0.707960,0.440000,1.760000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,2.0,2.0,9999.0,0.0,0.0002,1.8,0.0,0.0,2.0,2.0,9999.000,0.000,0.0002,1.760,0.000,0.000,
1118,30582,connector,43751,941,"LINESTRING (-111.016145 31.834301, -111.008813 31.833332)",0.707960,0.440000,1.760000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,0.0,0.0,9999.0,0.0,0.0000,1.8,0.0,0.0,0.0,0.0,9999.000,0.000,0.0000,1.760,0.000,0.000,
1119,30583,connector,941,43752,"LINESTRING (-111.008811 31.833332, -111.000266 31.835481)",0.836680,0.520000,2.080000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,82.0,82.0,9999.0,0.0,0.0082,2.1,0.0,0.0,82.0,82.0,9999.000,0.000,0.0082,2.080,0.000,0.000,
1120,30583,connector,43752,941,"LINESTRING (-111.000268 31.835489, -111.008813 31.833340)",0.836680,0.520000,2.080000,24.135000,0.000000,1111.000000,0.000000,-1,,network_wide,-1,0,-1,-1,9.0,connector,24.1,1111.0,9.0,37.8,37.8,9999.0,0.0,0.0038,2.1,0.0,0.0,37.8,37.8,9999.000,0.000,0.0038,2.080,0.000,0.000,
1121,30584,Major arterial,43751,43753,"LINESTRING (-111.016148 31.834303, -111.012318 31.827591)",0.981490,0.610000,0.915000,64.360000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,3.0,Major arterial,64.4,1750.0,3.0,3.0,3.0,5250.0,0.0,0.0006,0.9,0.0,0.0,3.0,3.0,5250.000,0.000,0.0006,0.915,0.000,0.000,
1122,30584,Major arterial,43753,43751,"LINESTRING (-111.012310 31.827595, -111.016140 31.834307)",0.981490,0.610000,0.915000,64.360000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,3.0,Major arterial,64.4,1750.0,3.0,8.0,8.0,5250.0,0.0,0.0015,0.9,0.0,0.0,8.0,8.0,5250.000,0.000,0.0015,0.915,0.000,0.000,
1123,30585,Major arterial,43754,43755,"LINESTRING (-110.999953 31.842074, -111.001609 31.842467)",0.160900,0.100000,0.171429,56.315000,0.000000,1700.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,56.3,1700.0,1.0,16.0,16.0,1700.0,0.0,0.0094,0.2,0.0,0.0,16.0,16.0,1700.000,0.000,0.0094,0.171,0.000,0.000,
1124,30585,Major arterial,43755,43754,"LINESTRING (-111.001611 31.842459, -110.999955 31.842066)",0.160900,0.100000,0.171429,56.315000,0.000000,1700.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,56.3,1700.0,1.0,9.0,9.0,1700.0,0.0,0.0053,0.2,0.0,0.0,9.0,9.0,1700.000,0.000,0.0053,0.171,0.000,0.000,
1125,30586,Major arterial,43755,43682,"LINESTRING (-111.001606 31.842462, -110.999767 31.848458)",0.691870,0.430000,0.600000,69.187000,0.000000,1700.000000,0.000000,-1,,network_wide,-1,0,-1,-1,2.0,Major arterial,69.2,1700.0,2.0,16.0,16.0,3400.0,0.0,0.0047,0.6,0.0,0.0,16.0,16.0,3400.000,0.000,0.0047,0.600,0.000,0.000,
1126,30586,Major arterial,43682,43755,"LINESTRING (-110.999775 31.848460, -111.001614 31.842464)",0.691870,0.430000,0.600000,69.187000,0.000000,1700.000000,0.000000,-1,,network_wide,-1,0,-1,-1,2.0,Major arterial,69.2,1700.0,2.0,9.0,9.0,3400.0,0.0,0.0026,0.6,0.0,0.0,9.0,9.0,3400.000,0.000,0.0026,0.600,0.000,0.000,
1127,30587,motorway,43692,43756,"LINESTRING (-110.995445 31.846018, -111.002594 31.827816)",2.123880,1.320000,1.115493,114.239000,0.000000,2100.000000,0.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,114.2,2100.0,2.0,93.0,93.0,4200.0,0.0,0.0221,1.1,0.0,0.0,93.0,93.0,4200.000,0.000,0.0221,1.115,0.000,0.000,
1128,30588,Major arterial,43693,43757,"LINESTRING (-110.991207 31.844587, -110.999172 31.826223)",2.333050,1.450000,2.416667,57.924000,0.000000,1750.000000,0.000000,-1,,network_wide,-1,0,-1,-1,1.0,Major arterial,57.9,1750.0,1.0,2.0,2.0,1750.0,0.0,0.0011,2.4,0.0,0.0,2.0,2.0,1750.000,0.000,0.0011,2.417,0.000,0.000,
