node_id,x_coord,y_coord,production,attraction,is_boundary,ctrl_type,zone_id,poi_id,activity_type,geometry
7635,-96.6779513,43.4987209,10,10,0,,,,residential,POINT (-96.6779513 43.4987209)
7636,-96.6790549,43.4987255,10,10,2,,,,residential,POINT (-96.6790549 43.4987255)
7637,-96.6598108,43.5070962,10,10,0,,,,residential,POINT (-96.6598108 43.5070962)
7638,-96.6585552,43.5071058,10,10,0,,,,residential,POINT (-96.6585552 43.5071058)
7639,-96.6573889,43.5067946,10,10,0,,,,residential,POINT (-96.6573889 43.5067946)
7640,-96.6615874,43.5054027,10,10,2,,,,residential,POINT (-96.6615874 43.5054027)
7641,-96.6619147,43.5044261,10,10,2,,,,residential,POINT (-96.6619147 43.5044261)
7642,-96.659789,43.5044464,10,10,0,,,,residential,POINT (-96.659789 43.5044464)
7643,-96.658531,43.504454,10,10,0,,,,residential,POINT (-96.658531 43.504454)
7644,-96.6576138,43.5044493,10,10,0,,,,residential,POINT (-96.6576138 43.5044493)
7645,-96.6444624,43.5143019,10,10,0,,,,residential,POINT (-96.6444624 43.5143019)
7646,-96.6433473,43.5134493,10,10,0,,,,residential,POINT (-96.6433473 43.5134493)
7647,-96.6263655,43.5482488,10,10,0,,,,residential,POINT (-96.6263655 43.5482488)
7648,-96.6244473,43.5487435,10,10,2,,,,residential,POINT (-96.6244473 43.5487435)
7649,-96.6263377,43.5473115,10,10,0,,,,residential,POINT (-96.6263377 43.5473115)
7650,-96.6229064,43.5478178,10,10,0,,,,residential,POINT (-96.6229064 43.5478178)
7651,-96.6214768,43.547154,10,10,0,,,,residential,POINT (-96.6214768 43.547154)
7652,-96.6214159,43.5462011,10,10,2,,,,residential,POINT (-96.6214159 43.5462011)
7653,-96.6243197,43.5457534,10,10,2,,,,residential,POINT (-96.6243197 43.5457534)
7654,-96.624275,43.5447408,10,10,2,,,,residential,POINT (-96.624275 43.5447408)
7655,-96.6226543,43.5445885,10,10,0,,,,residential,POINT (-96.6226543 43.5445885)
7656,-96.6216467,43.5441674,10,10,2,,,,residential,POINT (-96.6216467 43.5441674)
7657,-96.6253634,43.540984,10,10,2,,,,residential,POINT (-96.6253634 43.540984)
7658,-96.631306,43.5469867,10,10,0,,,,residential,POINT (-96.631306 43.5469867)
7659,-96.6339434,43.5471002,10,10,0,,,,residential,POINT (-96.6339434 43.5471002)
7660,-96.6367057,43.5464713,10,10,0,,,,residential,POINT (-96.6367057 43.5464713)
7661,-96.6375796,43.5458749,10,10,0,,,,residential,POINT (-96.6375796 43.5458749)
7662,-96.6357337,43.5437648,10,10,0,,,,residential,POINT (-96.6357337 43.5437648)
7663,-96.6360285,43.5446102,10,10,0,,,,residential,POINT (-96.6360285 43.5446102)
7664,-96.6366155,43.5452856,10,10,0,,,,residential,POINT (-96.6366155 43.5452856)
7665,-96.6386409,43.5462098,10,10,0,,,,residential,POINT (-96.6386409 43.5462098)
7666,-96.6398523,43.5466657,10,10,0,,,,residential,POINT (-96.6398523 43.5466657)
7667,-96.6408806,43.5470175,10,10,0,,,,residential,POINT (-96.6408806 43.5470175)
7668,-96.6422171,43.5471381,10,10,0,,,,residential,POINT (-96.6422171 43.5471381)
